video,unique_phase_count,phase_coverage,phase_0_frames,phase_0_percentage,phase_1_frames,phase_1_percentage,phase_2_frames,phase_2_percentage,phase_3_frames,phase_3_percentage,phase_4_frames,phase_4_percentage,phase_5_frames,phase_5_percentage,phase_6_frames,phase_6_percentage,avg_risk,max_risk,risk_std,critical_risk_events,critical_risk_percentage,phase_transition_count,transition_efficiency,avg_phase_progress,phase_0_progress_rate,phase_1_progress_rate,phase_2_progress_rate,phase_3_progress_rate,phase_4_progress_rate,phase_5_progress_rate,phase_6_progress_rate,global_outcome_score
VID01,7,1.0,22.0,1.2687427912341407,652,37.60092272202999,214,12.341407151095732,583,33.621683967704726,98,5.651672433679354,73.0,4.2099192618223755,92,5.3056516724336795,3.2508650519031144,5.0,1.7095757350919198,773,44.57900807381776,6,0.8571428571428571,0.5,0.045454545454545456,0.0015337423312883436,0.004672897196261682,0.0017152658662092624,0.01020408163265306,0.0136986301369863,0.010869565217391304,5.763766683143846
VID04,7,1.0,292.0,19.17268548916612,607,39.85554826001313,66,4.333552199606041,276,18.122127380170717,38,2.495075508864084,95.0,6.23768877216021,149,9.783322390019698,3.1838476690741957,5.0,1.7071405120681593,630,41.365725541694026,6,0.8571428571428571,0.5,0.003424657534246575,0.0016474464579901153,0.015151515151515152,0.0036231884057971015,0.02631578947368421,0.010526315789473684,0.006711409395973154,5.8039771128411966
VID05,7,1.0,65.0,2.771855010660981,951,40.55437100213219,289,12.32409381663113,240,10.23454157782516,119,5.074626865671641,111.0,4.733475479744136,570,24.307036247334754,3.049893390191898,5.0,1.7550612128078549,854,36.417910447761194,6,0.8571428571428571,0.5,0.015384615384615385,0.0010515247108307045,0.0034602076124567475,0.004166666666666667,0.008403361344537815,0.009009009009009009,0.0017543859649122807,5.884349680170575
VID08,7,1.0,99.0,6.513157894736842,667,43.881578947368425,89,5.855263157894737,310,20.394736842105264,68,4.473684210526316,99.0,6.513157894736842,188,12.368421052631579,3.4848684210526315,5.0,1.7086567465186864,724,47.63157894736842,6,0.8571428571428571,0.5,0.010101010101010102,0.0014992503748125937,0.011235955056179775,0.0032258064516129032,0.014705882352941176,0.010101010101010102,0.005319148936170213,5.6233646616541355
VID10,7,1.0,59.0,3.371428571428572,552,31.542857142857144,199,11.371428571428572,711,40.62857142857143,71,4.057142857142857,114.0,6.514285714285714,44,2.5142857142857142,3.714857142857143,5.0,1.6531724850438694,920,52.57142857142857,6,0.8571428571428571,0.5,0.01694915254237288,0.0018115942028985507,0.005025125628140704,0.0014064697609001407,0.014084507042253521,0.008771929824561403,0.022727272727272728,5.485371428571429
VID103,6,0.8571428571428571,,,912,41.08108108108108,119,5.36036036036036,171,7.7027027027027035,292,13.153153153153152,38.0,1.7117117117117115,688,30.99099099099099,3.1995495495495496,5.0,1.8260625130588757,1065,47.97297297297297,6,1.0,0.5,,0.0010964912280701754,0.008403361344537815,0.005847953216374269,0.003424657534246575,0.02631578947368421,0.0014534883720930232,5.651698841698842
VID110,7,1.0,79.0,3.628847037207166,585,26.87184198438218,143,6.568672485071199,722,33.164905833716126,101,4.639412034910427,193.0,8.865411116214975,354,16.260909508497935,3.136885622416169,5.0,1.810905574760374,969,44.51079467156638,6,0.8571428571428571,0.5,0.012658227848101266,0.0017094017094017094,0.006993006993006993,0.0013850415512465374,0.009900990099009901,0.0051813471502590676,0.002824858757062147,5.832154340836013
VID12,7,1.0,157.0,14.390467461044912,362,33.18056828597617,92,8.43263061411549,308,28.230980751604033,42,3.84967919340055,102.0,9.349220898258478,28,2.566452795600367,3.40788267644363,5.0,1.7745249448802825,566,51.879010082493124,6,0.8571428571428571,0.5,0.006369426751592357,0.0027624309392265192,0.010869565217391304,0.003246753246753247,0.023809523809523808,0.00980392156862745,0.03571428571428571,5.6695561084195365
VID13,6,0.8571428571428571,,,369,37.57637474541752,82,8.350305498981669,370,37.67820773930753,70,7.128309572301425,29.0,2.9531568228105907,62,6.313645621181263,4.3095723014256615,5.0,1.4091243328046095,776,79.0224032586558,5,0.8333333333333334,0.5,,0.0027100271002710027,0.012195121951219513,0.002702702702702703,0.014285714285714285,0.034482758620689655,0.016129032258064516,4.652351857239841
VID15,7,1.0,139.0,6.750849927149101,310,15.055852355512384,304,14.764448761534727,1037,50.36425449247207,96,4.662457503642544,98.0,4.759592034968431,75,3.6425449247207387,3.4492472073822245,5.0,1.6587803867971331,892,43.32200097134532,6,0.8571428571428571,0.5,0.007194244604316547,0.0032258064516129032,0.003289473684210526,0.0009643201542912247,0.010416666666666666,0.01020408163265306,0.013333333333333334,5.644737389856379
VID18,7,1.0,34.0,1.7498713329902211,749,38.54863612969635,238,12.24909933093155,613,31.549150797735457,77,3.9629439011837366,174.0,8.955223880597014,58,2.9850746268656714,4.0488934637159035,5.0,1.5011327205300347,1289,66.34071024189397,6,0.8571428571428571,0.5,0.029411764705882353,0.0013351134846461949,0.004201680672268907,0.0016313213703099511,0.012987012987012988,0.005747126436781609,0.017241379310344827,5.284949636056172
VID22,6,0.8571428571428571,,,460,30.006523157208086,184,12.002609262883235,416,27.136333985649053,87,5.6751467710371815,281.0,18.33007175472929,105,6.8493150684931505,3.9660795825179385,5.0,1.4976032468115046,918,59.8825831702544,5,0.8333333333333334,0.5,,0.002173913043478261,0.005434782608695652,0.002403846153846154,0.011494252873563218,0.0035587188612099642,0.009523809523809525,4.858447488584475
VID26,7,1.0,99.0,5.580608793686584,637,35.90755355129651,180,10.146561443066517,588,33.14543404735062,61,3.4385569334836523,188.0,10.597519729425029,21,1.1837655016910935,3.96674182638106,5.0,1.598519214674114,1185,66.79819616685457,6,0.8571428571428571,0.5,0.010101010101010102,0.0015698587127158557,0.005555555555555556,0.0017006802721088435,0.01639344262295082,0.005319148936170213,0.047619047619047616,5.334240618457078
VID27,7,1.0,80.0,3.8369304556354913,826,39.61630695443645,322,15.443645083932852,524,25.13189448441247,170,8.15347721822542,109.0,5.227817745803357,54,2.5899280575539567,3.825419664268585,5.0,1.5255541522226983,1214,58.225419664268586,6,0.8571428571428571,0.5,0.0125,0.0012106537530266344,0.003105590062111801,0.0019083969465648854,0.0058823529411764705,0.009174311926605505,0.018518518518518517,5.4190339157245635
VID29,6,0.8571428571428571,,,510,21.692896639727778,181,7.698851552530837,1027,43.68353891960868,122,5.189281156954487,464.0,19.736282433007233,47,1.999149298170991,3.612079965971927,5.0,1.731217725918005,1309,55.678434708634626,5,0.8333333333333334,0.5,,0.00196078431372549,0.0055248618784530384,0.0009737098344693282,0.00819672131147541,0.0021551724137931034,0.02127659574468085,5.070847258512082
VID31,7,1.0,167.0,4.232133806386214,2957,74.93664470349721,440,11.150532184490624,224,5.676634566649772,99,2.50886974151039,55.0,1.393816523061328,4,0.10136847440446022,4.021540800810948,5.0,1.3414867416928224,2242,56.81702990369995,6,0.8571428571428571,0.5,0.005988023952095809,0.00033818058843422386,0.0022727272727272726,0.004464285714285714,0.010101010101010102,0.01818181818181818,0.25,5.301361233799145
VID32,6,0.8571428571428571,,,1019,48.13415210203117,123,5.8101086443079835,658,31.081719414265468,75,3.542749173358526,141.0,6.660368445914029,101,4.7709022201228155,3.6329711856400566,5.0,1.5306379186464263,912,43.07982994803968,5,0.8333333333333334,0.5,,0.0009813542688910696,0.008130081300813009,0.001519756838905775,0.013333333333333334,0.0070921985815602835,0.009900990099009901,5.058312526711204
VID35,7,1.0,54.0,2.5628856193640246,1158,54.95965828191742,253,12.007593735168486,327,15.51969625059326,68,3.22733744660655,203.0,9.634551495016613,44,2.08827717133365,4.1993355481727574,5.0,1.3129776586505726,1350,64.07214048410061,6,0.8571428571428571,0.5,0.018518518518518517,0.0008635578583765112,0.003952569169960474,0.0030581039755351682,0.014705882352941176,0.0049261083743842365,0.022727272727272728,5.19468438538206
VID36,7,1.0,237.0,9.924623115577889,843,35.301507537688444,118,4.941373534338359,1014,42.462311557788944,71,2.9731993299832498,68.0,2.8475711892797317,37,1.5494137353433837,4.278475711892797,5.0,1.4300867439796214,1843,77.17755443886098,6,0.8571428571428571,0.5,0.004219409282700422,0.0011862396204033216,0.00847457627118644,0.0009861932938856016,0.014084507042253521,0.014705882352941176,0.02702702702702703,5.147200287150036
VID40,7,1.0,263.0,11.830859199280253,1075,48.35807467386415,181,8.142150247413406,489,21.997300944669366,103,4.633378317588844,68.0,3.0589293747188484,44,1.9793072424651372,3.4493927125506074,5.0,1.607737795408909,1025,46.10886189833558,6,0.8571428571428571,0.5,0.0038022813688212928,0.0009302325581395349,0.0055248618784530384,0.002044989775051125,0.009708737864077669,0.014705882352941176,0.022727272727272728,5.64465008675535
VID42,7,1.0,196.0,5.278750336654996,1543,41.55669270131968,338,9.103151090762186,1371,36.92431995690816,65,1.7506059789927284,147.0,3.959062752491247,53,1.4274171828709938,3.9983840560193915,5.0,1.44492110915145,2239,60.30164287638029,6,0.8571428571428571,0.5,0.00510204081632653,0.0006480881399870382,0.0029585798816568047,0.0007293946024799417,0.015384615384615385,0.006802721088435374,0.018867924528301886,5.315255280674079
VID43,7,1.0,79.0,3.343207786711807,923,39.06051629284807,198,8.37917900973339,632,26.745662293694455,73,3.0892932712653405,320.0,13.542107490478205,138,5.840033855268726,3.3643673296656793,5.0,1.5655084297888968,772,32.67033432077867,6,0.8571428571428571,0.5,0.012658227848101266,0.0010834236186348862,0.005050505050505051,0.0015822784810126582,0.0136986301369863,0.003125,0.007246376811594203,5.6956653164863065
VID47,7,1.0,182.0,8.053097345132745,567,25.088495575221238,151,6.681415929203539,932,41.23893805309734,66,2.920353982300885,320.0,14.15929203539823,42,1.8584070796460177,3.9150442477876104,5.0,1.4621611619547479,1242,54.955752212389385,6,0.8571428571428571,0.5,0.005494505494505495,0.001763668430335097,0.006622516556291391,0.001072961373390558,0.015151515151515152,0.003125,0.023809523809523808,5.365259165613148
VID48,7,1.0,141.0,7.68392370572207,926,50.463215258855584,100,5.449591280653951,385,20.98092643051771,159,8.664850136239782,45.0,2.452316076294278,79,4.305177111716621,3.7144414168937328,5.0,1.6059099472976683,1028,56.02179836512261,6,0.8571428571428571,0.5,0.0070921985815602835,0.0010799136069114472,0.01,0.0025974025974025974,0.006289308176100629,0.022222222222222223,0.012658227848101266,5.485620864149475
VID49,7,1.0,91.0,5.442583732057416,379,22.667464114832537,63,3.7679425837320575,579,34.62918660287082,87,5.203349282296651,387.0,23.145933014354068,86,5.143540669856459,3.5544258373205744,5.0,1.6628230248478075,813,48.624401913875595,6,0.8571428571428571,0.5,0.01098901098901099,0.002638522427440633,0.015873015873015872,0.0017271157167530224,0.011494252873563218,0.002583979328165375,0.011627906976744186,5.581630211893369
VID52,7,1.0,111.0,5.643111337061515,474,24.097610574478903,327,16.624300965937977,392,19.9288256227758,67,3.40620233858668,550.0,27.961362480935435,46,2.338586680223691,3.559735638027453,5.0,1.4392866430775424,724,36.80732079308592,6,0.8571428571428571,0.5,0.009009009009009009,0.002109704641350211,0.0030581039755351682,0.002551020408163265,0.014925373134328358,0.0018181818181818182,0.021739130434782608,5.5784443314692425
VID56,7,1.0,106.0,5.770277626565052,890,48.44855743059336,48,2.6129559063690797,520,28.307022318998364,116,6.314643440391943,104.0,5.661404463799673,53,2.885138813282526,3.437125748502994,5.0,1.709429486487141,914,49.7550353837779,6,0.8571428571428571,0.5,0.009433962264150943,0.0011235955056179776,0.020833333333333332,0.0019230769230769232,0.008620689655172414,0.009615384615384616,0.018867924528301886,5.652010265183918
VID57,7,1.0,146.0,5.545005696923662,980,37.21990125332321,197,7.481959741739461,925,35.13102924420813,81,3.0763387770603874,143.0,5.431067223699203,161,6.114698063045955,3.5347512343334597,5.0,1.7311811938345005,1426,54.15875427269275,6,0.8571428571428571,0.5,0.00684931506849315,0.0010204081632653062,0.005076142131979695,0.001081081081081081,0.012345679012345678,0.006993006993006993,0.006211180124223602,5.593434973685638
VID60,7,1.0,324.0,12.791156731148837,1778,70.19344650611923,84,3.3162258191867346,106,4.184761152783261,108,4.263718910382945,94.0,3.7110146071851555,39,1.5396762731938411,2.9976312672720096,5.0,1.5855627994750656,539,21.279115673114884,6,0.8571428571428571,0.5,0.0030864197530864196,0.0005624296962879641,0.011904761904761904,0.009433962264150943,0.009259259259259259,0.010638297872340425,0.02564102564102564,5.915706953922508
VID62,7,1.0,21.0,1.0329562223315296,1070,52.63157894736842,70,3.443187407771766,700,34.43187407771766,54,2.6561731431382194,97.0,4.771273979340875,21,1.0329562223315296,4.030004918839154,5.0,1.4060458487021812,1172,57.64879488440728,6,0.8571428571428571,0.5000000000000001,0.047619047619047616,0.0009345794392523365,0.014285714285714285,0.0014285714285714286,0.018518518518518517,0.010309278350515464,0.047619047619047616,5.296282762982222
VID65,6,0.8571428571428571,250.0,13.340448239060832,895,47.75880469583778,108,5.76307363927428,506,27.00106723585913,78,4.16221985058698,,,37,1.9743863393810033,3.769477054429029,5.0,1.6712801105294415,1159,61.84631803628602,5,0.8333333333333334,0.49999999999999994,0.004,0.0011173184357541898,0.009259259259259259,0.001976284584980237,0.01282051282051282,,0.02702702702702703,4.97640900543782
VID68,7,1.0,103.0,5.220476431829701,827,41.9158641662443,162,8.210846426761277,533,27.01469842878865,69,3.4972123669538773,195.0,9.883426254434871,84,4.257475924987329,3.698428788646731,5.0,1.6960592244003436,1173,59.45261023821592,6,0.8571428571428571,0.5,0.009708737864077669,0.0012091898428053204,0.006172839506172839,0.001876172607879925,0.014492753623188406,0.005128205128205128,0.011904761904761904,5.495228441097676
VID70,7,1.0,36.0,3.01255230125523,501,41.92468619246862,100,8.368200836820083,365,30.543933054393307,91,7.615062761506277,80.0,6.694560669456067,22,1.8410041841004186,3.9414225941422596,5.0,1.4159579401803564,651,54.47698744769875,6,0.8571428571428571,0.5,0.027777777777777776,0.001996007984031936,0.01,0.0027397260273972603,0.01098901098901099,0.0125,0.045454545454545456,5.349432157800359
VID73,7,1.0,98.0,7.221812822402359,630,46.425939572586586,104,7.663964627855564,287,21.149594694178333,47,3.4635224760501107,119.0,8.769344141488578,72,5.305821665438467,3.8120854826823876,5.0,1.6112815695289318,808,59.54310980103169,6,0.8571428571428571,0.5,0.01020408163265306,0.0015873015873015873,0.009615384615384616,0.003484320557491289,0.02127659574468085,0.008403361344537815,0.013888888888888888,5.427034424676282
VID74,7,1.0,88.0,5.382262996941896,414,25.321100917431195,129,7.889908256880735,707,43.24159021406728,102,6.238532110091743,90.0,5.5045871559633035,105,6.422018348623854,3.4782874617737005,5.0,1.6175602130208298,758,46.36085626911315,6,0.8571428571428571,0.5,0.011363636363636364,0.0024154589371980675,0.007751937984496124,0.0014144271570014145,0.00980392156862745,0.011111111111111112,0.009523809523809525,5.627313237221494
VID75,6,0.8571428571428571,123.0,6.392931392931393,382,19.854469854469855,56,2.9106029106029108,1192,61.95426195426196,138,7.172557172557173,,,33,1.7151767151767152,3.5966735966735968,5.0,1.6228325879885406,1034,53.74220374220374,5,0.8333333333333334,0.5,0.008130081300813009,0.002617801047120419,0.017857142857142856,0.0008389261744966443,0.007246376811594203,,0.030303030303030304,5.08009108009108
VID78,6,0.8571428571428571,48.0,6.486486486486487,288,38.91891891891892,84,11.351351351351353,222,30.0,62,8.378378378378379,,,36,4.864864864864865,3.537837837837838,5.0,1.7289039413941707,409,55.270270270270274,5,0.8333333333333334,0.5,0.020833333333333332,0.003472222222222222,0.011904761904761904,0.0045045045045045045,0.016129032258064516,,0.027777777777777776,5.115392535392536
VID80,7,1.0,58.0,3.3623188405797104,1079,62.55072463768116,157,9.10144927536232,243,14.08695652173913,41,2.3768115942028984,60.0,3.4782608695652173,87,5.043478260869565,4.316521739130435,5.0,1.4008649771873158,1357,78.66666666666666,6,0.8571428571428571,0.5000000000000001,0.017241379310344827,0.0009267840593141798,0.006369426751592357,0.00411522633744856,0.024390243902439025,0.016666666666666666,0.011494252873563218,5.124372670807453
VID92,7,1.0,145.0,6.8267419962335225,390,18.361581920903955,199,9.369114877589455,561,26.412429378531073,40,1.8832391713747645,530.0,24.95291902071563,259,12.1939736346516,3.086629001883239,5.0,1.8115111451047547,922,43.40866290018832,6,0.8571428571428571,0.5,0.006896551724137931,0.002564102564102564,0.005025125628140704,0.0017825311942959,0.025,0.0018867924528301887,0.003861003861003861,5.862308313155771
VID96,6,0.8571428571428571,67.0,3.925014645577036,738,43.23374340949033,92,5.389572349150557,346,20.26947861745753,74,4.335090802577621,,,390,22.847100175746924,2.89103690685413,5.0,1.8115254367875209,691,40.480374926772114,5,0.8333333333333334,0.5,0.014925373134328358,0.0013550135501355014,0.010869565217391304,0.002890173410404624,0.013513513513513514,,0.002564102564102564,5.50347309398276
